0 0 1.5 0 
0.01 0 1.5 0 
0.02 0 1.5 0 
0.03 0 1.5 0 
0.04 0 1.5 0 
0.05 0 1.5 0 
0.06 0 1.5 0 
0.07 0 1.5 0 
0.08 0 1.5 0 
0.09 0 1.5 0 
0.1 0 1.5 0 
0.11 0 1.5 0 
0.12 0 1.5 0 
0.13 0 1.5 0 
0.14 0 1.5 0 
0.15 1.96224 1.5 8.58267 
0.16 2.05734 1.5 7.83901 
0.17 2.14147 1.5 7.21207 
0.18 2.21561 1.5 6.67987 
0.19 2.28027 1.5 6.22384 
0.2 2.33617 1.5 5.83015 
0.21 2.38404 1.5 5.48788 
0.22 2.42467 1.5 5.18857 
0.23 2.45882 1.5 4.92543 
0.24 2.48728 1.5 4.69306 
0.25 2.51078 1.5 4.48707 
0.26 2.53006 1.5 4.30393 
0.27 2.54578 1.5 4.14068 
0.28 2.5586 1.5 3.99495 
0.29 2.56911 1.5 3.86471 
0.3 2.57787 1.5 3.74832 
0.31 2.58541 1.5 3.64437 
0.32 2.59223 1.5 3.55172 
0.33 2.59875 1.5 3.46937 
0.34 2.60543 1.5 3.39654 
0.35 2.61264 1.5 3.3325 
0.36 2.62077 1.5 3.27672 
0.37 2.63015 1.5 3.22869 
0.38 2.64113 1.5 3.18805 
0.39 2.654 1.5 3.15445 
0.4 2.6691 1.5 3.12765 
0.41 2.68666 1.5 3.10741 
0.42 2.707 1.5 3.09361 
0.43 2.7303 1.5 3.08603 
0.44 2.75695 1.5 3.08475 
0.45 2.78624 1.5 3.08866 
0.46 2.81289 1.5 3.09167 
0.47 2.8363 1.5 3.09304 
0.48 2.85697 1.5 3.09323 
0.49 2.87511 1.5 3.09238 
0.5 2.89103 1.5 3.09072 
0.51 2.90492 1.5 3.08836 
0.52 2.91703 1.5 3.08546 
0.53 2.9275 1.5 3.0821 
0.54 2.93654 1.5 3.0784 
0.55 2.94429 1.5 3.07442 
0.56 2.95092 1.5 3.07026 
0.57 2.95653 1.5 3.06596 
0.58 2.96127 1.5 3.0616 
0.59 2.96524 1.5 3.05721 
0.6 2.96856 1.5 3.05286 
0.61 2.97131 1.5 3.04857 
0.62 2.97359 1.5 3.04441 
0.63 2.97548 1.5 3.04038 
0.64 2.97706 1.5 3.03654 
0.65 2.97838 1.5 3.03288 
0.66 2.97951 1.5 3.02946 
0.67 2.98049 1.5 3.02628 
0.68 2.98139 1.5 3.02335 
0.69 2.98222 1.5 3.02069 
0.7 2.98303 1.5 3.01829 
0.71 2.98384 1.5 3.01615 
0.72 2.98465 1.5 3.01428 
0.73 2.98549 1.5 3.01265 
0.74 2.98635 1.5 3.01125 
0.75 2.98722 1.5 3.01005 
0.76 2.9881 1.5 3.00903 
0.77 2.98896 1.5 3.00815 
0.78 2.98981 1.5 3.0074 
0.79 2.99062 1.5 3.00676 
0.8 2.99141 1.5 3.0062 
0.81 2.99216 1.5 3.00572 
0.82 2.99286 1.5 3.0053 
0.83 2.99352 1.5 3.00492 
0.84 2.99414 1.5 3.00459 
0.85 2.99471 1.5 3.00429 
